,CURROPER
78562,True
75023,True
2072,True
67292,True
67487,False
60486,True
68576,True
32799,True
24634,True
15668,False
73363,True
55880,True
10920,True
4043,True
69252,True
77302,True
15339,True
55771,True
46320,True
13000,True
32243,True
2672,True
42646,True
10168,False
55973,True
22620,True
50061,True
51306,True
20546,True
65592,True
54047,True
21949,True
40499,False
39512,False
51536,True
19370,True
38143,True
63693,True
63323,True
42723,True
59349,True
5595,False
2861,False
27300,False
47590,True
76289,True
16410,True
1329,False
49722,True
62385,False
57039,True
2546,True
2600,False
46005,True
69445,True
28960,True
26056,True
65967,False
38231,True
45504,True
77762,True
38279,True
18208,False
22497,True
15549,True
47842,True
13251,True
63388,True
16008,True
17650,True
72003,True
58891,True
53785,True
10697,False
42465,True
78297,True
29668,True
30880,True
41589,True
71489,True
21601,True
62359,True
15780,True
22001,True
50779,True
34627,False
39205,True
75228,True
2461,True
69183,True
73809,True
73215,True
31779,True
41911,True
59104,True
3948,True
45117,True
9669,False
35475,False
49177,True
13346,False
63149,True
6628,True
65613,True
48617,True
69945,True
48640,True
54606,True
60779,True
35007,True
29322,True
19988,False
7272,True
61749,True
23309,True
46803,False
38603,True
52121,True
9831,True
5898,True
17996,True
10720,True
40925,True
4613,True
76237,True
17461,True
9590,True
34386,True
18993,True
51750,True
25403,True
20167,True
2633,True
66802,True
71569,True
6638,True
28990,True
30129,True
52673,True
4397,True
11737,True
54053,True
50734,True
46750,False
15259,True
31482,True
23295,True
55813,True
21119,True
30053,True
49039,True
6664,True
2731,False
26707,False
73509,True
53355,True
5551,False
36915,True
25759,True
1823,False
69124,True
31523,True
16047,True
47870,True
50114,True
17944,True
26158,False
61223,False
48934,False
15762,True
77891,False
28030,True
12275,True
71150,True
9388,False
8666,True
1295,False
78253,True
68042,False
15826,True
67634,False
60887,True
47477,True
69850,False
26672,True
28344,True
71473,True
1609,True
75994,True
52115,True
4277,True
59400,True
67437,True
46234,True
22227,True
66398,True
66189,True
2294,True
62783,False
24091,True
74022,True
13778,True
49764,True
76980,True
20893,True
20428,False
46917,False
22525,True
38218,True
18462,True
2567,True
19512,True
30050,True
65300,True
11366,False
55349,True
42896,True
4416,True
35708,True
65013,True
40044,True
37156,True
71957,True
42235,True
42323,False
1425,True
21722,True
26942,True
78102,True
8013,True
77436,True
37555,True
69007,True
62885,True
45835,True
21497,True
3515,True
21840,True
63911,True
30034,False
32634,True
38118,True
73561,True
76951,True
63984,True
29757,True
1130,True
27477,True
48395,True
32134,True
61422,True
20511,False
638,True
6164,True
73358,True
58470,False
55545,True
1683,True
54766,True
13890,True
75156,True
12436,False
37923,True
20185,True
3085,True
34273,True
56211,True
68446,True
8550,True
22821,True
69845,True
59030,True
30924,True
42600,True
29340,True
17587,True
54299,True
33570,False
64808,True
36860,True
15566,True
31310,True
26184,False
30838,True
70362,True
49981,True
61121,False
30236,True
26710,False
57931,True
15318,True
9355,True
11031,True
27430,True
24555,True
52537,False
23527,True
48513,False
35612,True
78140,True
73653,True
68826,False
42496,True
75674,True
21820,True
27016,False
64251,True
18355,True
57374,True
35018,True
74512,True
42060,True
25450,True
73247,True
69478,True
30569,False
65892,True
57371,True
53762,False
56139,True
13331,False
32603,True
42088,True
1394,True
59069,True
67975,False
6683,True
57324,True
8177,True
20138,False
49660,True
27321,True
29386,False
29576,False
33511,True
15357,True
66688,True
35616,True
40955,True
71025,False
68323,True
19148,True
15601,True
32345,False
7096,True
19184,True
14077,True
58162,True
75368,True
63820,True
3896,True
77454,True
44514,True
36514,True
35556,True
23848,True
27258,True
15311,True
27067,True
50594,True
52446,True
27483,True
325,False
3927,True
66838,True
36166,True
58767,True
62626,True
74608,True
7693,True
75057,True
58051,False
27131,True
33574,False
35274,True
48054,True
766,True
63143,True
36268,True
16867,True
3879,True
51934,True
30063,True
6145,True
57113,True
65161,True
32054,False
5508,True
6144,True
34332,True
43422,True
22240,True
10952,True
37437,True
57834,True
43014,True
36829,True
5387,False
55434,True
56880,True
45850,True
22979,True
30916,True
62075,True
69362,True
14147,True
19172,True
25314,True
26390,False
25699,False
44257,True
56713,True
6977,True
64419,True
838,True
76652,True
18185,True
77503,True
51434,True
4588,True
11214,True
17629,True
13703,True
4525,True
45501,False
44291,True
63943,True
24516,True
3714,True
34628,True
54836,True
43920,True
72839,True
25223,False
24194,True
32777,True
52746,True
15856,True
60100,True
9297,True
68565,True
1398,True
58761,True
72700,True
61503,False
27555,True
37843,True
28231,True
48662,True
38204,True
17078,True
71464,True
26405,False
70526,False
33974,True
9392,True
45078,True
48965,True
57406,True
2726,True
38205,False
36122,True
61310,True
14163,True
51570,True
12445,False
20931,False
78372,True
70711,True
48290,True
9002,True
52076,False
77184,True
68646,True
78390,True
2624,True
72978,True
22853,True
43560,True
74162,True
37172,True
22569,True
63094,True
44662,True
78340,True
76132,True
13937,True
5138,True
72614,True
66597,True
1363,True
11658,False
77183,True
53542,True
54605,True
21900,True
46536,True
17066,True
28467,True
11944,True
51269,True
68007,False
11181,True
13574,True
65392,True
48012,True
27241,True
28299,True
54730,True
11700,True
4041,True
76566,True
62351,True
50906,True
73291,True
39530,False
46293,True
71597,True
19582,True
340,True
59978,True
22867,True
20046,True
26326,False
58283,False
37188,True
77435,True
75706,True
35094,True
51891,True
44354,True
45588,True
13075,True
55496,True
60044,False
35586,True
51456,True
75037,True
55118,True
18417,False
10716,True
14373,True
24565,True
63940,True
43032,True
61730,True
23317,True
9175,True
72702,True
42192,True
51056,True
3978,True
34,True
35418,False
73664,True
40021,True
13984,True
8628,True
76374,True
1939,True
51754,False
53983,True
16580,True
64173,True
58833,True
13806,True
62965,True
21116,True
2893,True
72244,True
23349,False
17844,True
2325,False
55647,True
77444,False
37744,True
74701,True
13856,True
47184,False
29802,True
36403,True
67513,True
64649,True
14537,False
43897,True
71982,True
27461,True
16900,True
68953,False
14066,True
3801,True
15367,True
20398,True
7699,False
9682,True
20201,True
68894,True
71965,True
42847,True
26883,True
38181,True
32981,True
43107,True
69292,True
34412,True
49678,True
68477,False
72404,True
38193,True
17271,True
1698,True
59655,True
56241,True
24177,False
933,True
37545,True
57451,True
50009,True
17877,False
70535,True
31114,True
29663,True
8432,True
66457,True
34793,True
46844,True
48157,True
52701,True
628,True
54833,True
62860,True
54994,True
11808,False
36438,True
49130,False
40882,False
8129,True
74610,True
4414,True
11568,False
68987,True
16665,True
3349,True
1643,True
45100,True
66196,True
61319,True
11861,True
50885,True
29610,True
19023,False
8950,True
605,True
60568,False
45622,True
5186,True
34161,True
44530,True
48742,True
61156,True
11347,True
42839,True
75363,True
16492,True
44344,True
9517,True
9357,True
48160,True
43279,True
30381,True
65257,True
49088,True
49045,True
2950,True
2883,True
70037,True
4425,True
417,False
55591,True
46675,True
4551,True
7100,False
70815,True
33730,False
62516,True
75593,True
24137,True
19745,False
34846,True
30527,True
26313,True
63499,True
2135,True
43670,True
60267,True
64098,True
65501,True
53094,True
2091,True
69059,True
2957,False
11036,True
28534,False
37788,True
44905,True
56308,True
52316,True
67711,True
78152,True
34312,True
76650,False
60676,True
69990,True
53776,True
27941,False
8193,True
16385,True
71282,True
34771,True
17989,True
8255,False
21513,False
55976,True
70263,True
16286,True
62736,True
45319,True
25362,True
11265,True
60360,True
50370,True
77424,True
62655,True
58976,True
12249,True
77767,True
18320,False
12660,True
13042,False
42722,True
45820,True
14670,True
22062,True
60167,True
54340,True
31063,False
10873,False
53991,False
22896,True
53401,True
6103,False
29144,True
26886,True
14425,True
44085,True
33643,True
47869,True
2288,True
13414,True
57708,True
47551,True
43307,True
18966,True
44075,True
45191,True
48222,True
48671,False
39679,True
5468,True
62972,True
5800,True
60878,True
37667,True
74775,True
11902,True
28289,True
22605,True
61265,True
31863,True
27307,True
73787,True
78563,True
74391,True
45229,True
44274,True
67455,True
19226,False
56805,True
24358,True
76188,True
22839,True
73270,True
38706,True
39795,True
66727,True
66058,True
66994,True
57675,True
15565,True
17452,True
70720,True
42623,True
38497,True
58870,True
56937,True
49636,True
58840,True
49892,True
12666,True
76094,True
52290,True
75774,True
37161,True
50231,True
20458,False
59891,True
31650,True
44269,True
27937,False
19466,True
59405,True
10137,True
59348,True
12373,True
1945,True
63663,True
46584,True
857,False
68730,True
46563,True
25745,True
34534,True
50087,True
66948,True
65077,True
20984,True
77307,True
34604,True
26960,True
38931,True
29598,True
52063,True
10862,True
55608,True
57852,True
3966,True
58243,True
50603,True
20371,True
36959,True
3101,True
60861,True
45665,True
14263,True
55386,True
49829,True
37943,True
43766,True
68711,True
32454,False
73966,True
30817,True
64538,True
60472,True
63677,True
6820,True
63354,True
1407,True
16795,False
10280,True
49612,True
31657,True
78370,True
9263,True
75428,True
70149,True
49244,True
3224,False
59327,True
5687,True
31937,False
21804,True
38240,True
11970,True
61250,False
71693,True
16401,True
64075,True
33722,True
22804,True
15943,True
70290,True
34255,True
8701,True
70394,True
70286,False
29134,True
37585,True
6185,False
8205,False
70641,True
57002,True
53643,True
45812,False
16664,True
68759,True
70108,False
45819,True
65210,True
40289,True
40397,True
33571,True
8874,True
24231,True
70945,True
13971,True
23152,True
46831,True
40426,True
37800,True
73267,True
11088,True
20969,True
53681,True
28319,True
43550,True
4570,True
29729,True
29267,True
40578,True
2529,True
15211,False
50966,True
74132,True
22435,True
6138,True
19723,True
29092,True
66340,False
43915,True
61539,False
16524,True
70129,False
26559,False
12162,True
38505,True
10878,True
3277,True
68116,True
65819,True
16453,True
8208,True
70611,True
52799,False
21676,False
3569,True
54420,True
8422,False
44725,True
30055,True
51242,True
23565,True
8995,True
70410,True
58278,True
61570,True
50444,True
16786,True
67211,True
65896,True
10471,True
77217,True
15223,True
74148,True
24624,True
69341,True
21354,True
77515,True
69901,True
11112,True
55195,True
11701,True
62325,True
40118,False
74612,True
28153,True
78599,True
47204,False
55208,True
35627,True
55233,True
66203,True
39027,True
38483,True
2494,True
23519,True
4681,True
47003,False
59168,True
49672,True
65268,True
26375,True
45589,True
32781,True
5631,False
36929,True
36534,True
6129,False
26337,True
67496,True
38417,True
23320,True
21528,True
12665,True
39291,True
26434,False
24591,True
28542,False
59997,True
34762,True
11524,True
30258,True
33346,False
17931,True
58535,True
56571,True
69822,False
66466,True
40519,True
61251,True
3281,True
18181,True
27969,True
51932,True
53818,True
2308,True
27515,False
58851,True
17651,True
70475,True
27071,True
3917,True
14973,False
25041,True
66418,True
24710,True
47311,True
7413,True
44963,True
39800,True
52668,False
52471,True
9743,True
66102,True
30541,True
31100,False
62813,True
6453,False
29430,True
22835,True
16693,True
66775,True
2076,True
12642,False
47147,True
52503,True
47534,True
46257,False
72937,True
6432,True
18781,True
77482,True
60150,True
10239,True
25374,True
28040,True
29970,True
16320,True
71470,True
53954,True
31309,True
66440,True
58969,True
11243,False
20296,False
2881,True
23162,True
