,CURROPER
60771,False
63619,True
69030,True
71781,True
58632,True
49904,True
54012,True
77888,True
65188,True
55845,True
50041,True
49799,True
70225,True
48087,True
57274,True
61609,True
69629,False
73884,True
59359,True
62338,True
52673,True
61060,True
54515,True
60837,True
50335,True
49318,True
55058,True
53191,True
56714,True
62226,False
50332,True
57179,True
73452,True
52911,True
65683,True
50127,True
53581,True
65731,True
74086,True
58955,True
53669,True
48522,True
66883,True
73726,True
59730,True
66299,True
73145,True
68277,True
66987,True
64786,True
56432,True
57451,True
65763,True
62765,True
58928,False
65259,True
63197,True
74033,True
50498,True
48460,True
58663,True
66124,True
55381,True
61965,True
61005,True
67797,True
51150,True
73094,True
74110,True
73423,True
77836,True
66362,True
77748,True
72413,True
78456,True
77343,True
77503,True
68916,True
51694,True
55556,True
67292,True
75733,True
48429,True
69711,True
58364,True
63392,True
63546,True
66757,True
53653,True
51324,True
72765,True
51117,True
78355,True
51364,True
53424,True
58252,True
71503,True
50539,True
66496,True
67290,True
55926,True
68458,True
49988,True
62657,True
54780,False
61430,True
52045,True
68736,True
54478,True
73410,True
77556,True
49201,True
51868,True
69631,True
59947,True
62049,True
53397,True
75616,True
54753,True
75847,True
59878,True
69745,True
74586,True
75517,True
49995,True
72067,True
60016,True
76379,True
56472,True
70831,True
75803,True
76800,True
59242,True
63700,True
57306,True
56581,True
58195,True
59775,True
58908,True
52539,True
55651,True
62375,True
76873,True
73516,True
55274,True
75574,True
67003,True
66446,True
53093,False
49879,True
58334,True
55078,True
53456,True
64403,True
67430,True
57890,True
48770,False
65222,True
56476,True
54897,True
71585,False
63027,True
77847,True
75409,True
75985,True
73295,True
71640,True
56277,True
67218,True
59376,True
52598,True
72784,True
54191,True
49663,False
49639,True
56716,True
64112,True
49657,True
64152,True
53106,True
76587,True
66626,True
65999,True
55892,True
75980,True
72661,True
64770,True
78092,True
49295,True
73634,True
68307,False
58213,True
73318,True
68943,False
65321,True
61369,True
68691,False
62094,True
59407,True
72823,True
72146,True
75324,True
60236,True
51978,True
62887,True
61929,False
53926,False
62372,False
68680,False
75433,True
56182,True
66316,True
57394,True
74777,True
77810,True
75106,True
52981,True
67751,True
70117,False
73362,True
49801,True
61222,True
49375,True
57293,True
56864,True
77641,True
56133,True
72563,True
51362,True
69788,False
65111,True
65890,True
58261,True
48972,False
67136,True
49043,True
77255,True
74234,True
48871,True
75625,True
49815,True
77264,True
60550,True
50274,True
59895,True
67195,True
63329,True
63803,True
68931,False
51545,False
58823,True
59790,True
59791,True
52974,True
57611,True
76429,True
54527,True
